"loanid","model1","model2","target","sample"
1,0.0141869992796147,0.0109110336614132,0,"testing"
2,0.016759701309236,0.0290976022240578,0,"testing"
3,0.0150916962226991,0.0194820657305379,0,"testing"
4,0.0154033086155049,0.0193239869368696,0,"testing"
5,0.020179574025786,0.0314301742457511,0,"testing"
6,0.0283149443531912,0.0412208292820455,0,"testing"
7,0.0211846244725391,0.0333972716417036,0,"testing"
8,0.0329671994583731,0.0648422856054031,0,"testing"
9,0.0140967915441751,0.0145364439405701,0,"testing"
10,0.0155891480214594,0.0148500358087102,0,"testing"
11,0.0438268325150523,0.0552216190462355,0,"testing"
12,0.0121863516619067,0.00751813301765545,0,"testing"
13,0.015089707580729,0.014327660125352,0,"testing"
14,0.0239490560407144,0.0408224564946041,0,"testing"
15,0.013505506640584,0.00830940988469596,0,"testing"
16,0.0210117860535151,0.025283554894997,0,"testing"
17,0.0220672253337555,0.038265989555196,0,"testing"
18,0.0192917745006405,0.018141498939265,0,"testing"
19,0.0143155615325321,0.00748498274753403,0,"testing"
20,0.0272953138073669,0.0597488568108328,0,"testing"
21,0.0146599318151227,0.011302411356236,0,"testing"
22,0.0179194691158359,0.0273004862713952,0,"testing"
23,0.0236331291911938,0.0345723513411124,0,"testing"
24,0.0252220887686004,0.04384651818937,0,"testing"
25,0.0223326920522425,0.0288184595635324,0,"testing"
26,0.0128090574266807,0.00545281961743627,0,"testing"
27,0.0178229918026021,0.025519679489504,0,"testing"
28,0.0142481056612161,0.00989907291391004,0,"testing"
29,0.0213506831348767,0.0319329729876074,0,"testing"
30,0.017833869428395,0.0227523320859029,0,"testing"
31,0.0133873069487431,0.00841394650002013,0,"testing"
32,0.0134644637810864,0.0108580346663635,0,"testing"
33,0.0144633423805086,0.0101429154305322,0,"testing"
34,0.0183307230116767,0.0219410321008581,0,"testing"
35,0.0181938279751482,0.0331364955762776,0,"testing"
36,0.015249572237228,0.0135992233649872,0,"testing"
37,0.014984245759496,0.0179528940309198,0,"testing"
38,0.0140334265809984,0.0114859176833717,0,"testing"
39,0.0163576998787551,0.0168250301573775,0,"testing"
40,0.016722953762352,0.0191928874368042,0,"testing"
41,0.020594300489577,0.0249558686826688,0,"testing"
42,0.0135907725740529,0.0109229025308082,0,"testing"
43,0.0158439523758014,0.0263169890481714,0,"testing"
44,0.0202563303628841,0.0375975620870109,0,"testing"
45,0.0202264444747959,0.0271030314772165,0,"testing"
46,0.0242684100984119,0.0383543519084371,0,"testing"
